1.0000000	40.4435768	39.5144157
2.0000000	40.4412689	39.5176086
3.0000000	40.4412689	39.5176086
4.0000000	40.4412842	39.5176048
5.0000000	40.4412842	39.5176048
6.0000000	40.4412880	39.5176125
7.0000000	40.4412880	39.5176125
8.0000000	40.4412804	39.5176315
9.0000000	40.4412804	39.5176315
10.0000000	40.4412727	39.5176468
11.0000000	40.4412727	39.5176468
12.0000000	40.4412689	39.5176659
14.0000000	40.4412651	39.5176773
15.0000000	40.4412003	39.5177193
16.0000000	40.4412003	39.5177193
17.0000000	40.4411316	39.5177612
18.0000000	40.4411316	39.5177612
19.0000000	40.4410896	39.5177956
20.0000000	40.4410896	39.5177956
21.0000000	40.4405746	39.5171432
22.0000000	40.4405746	39.5171432
23.0000000	40.4403763	39.5168571
24.0000000	40.4403763	39.5168571
25.0000000	40.4403191	39.5167885
26.0000000	40.4403191	39.5167885
27.0000000	40.4403038	39.5167503
28.0000000	40.4403038	39.5167503
29.0000000	40.4402962	39.5167274
30.0000000	40.4402962	39.5167274
31.0000000	40.4402962	39.5167122
32.0000000	40.4402962	39.5167122
33.0000000	40.4402657	39.5166626
34.0000000	40.4402657	39.5166626
35.0000000	40.4402657	39.5166588
36.0000000	40.4402657	39.5166588
37.0000000	40.4402695	39.5166626
38.0000000	40.4402695	39.5166626
39.0000000	40.4402733	39.5166702
40.0000000	40.4402733	39.5166702
41.0000000	40.4402733	39.5166817
42.0000000	40.4402733	39.5166817
43.0000000	40.4402733	39.5166855
44.0000000	40.4402733	39.5166855
45.0000000	40.4402733	39.5166893
46.0000000	40.4402733	39.5166893
47.0000000	40.4402771	39.5166969
48.0000000	40.4402771	39.5166969
49.0000000	40.4402809	39.5167046
50.0000000	40.4402809	39.5167046
51.0000000	40.4402809	39.5167122
52.0000000	40.4402809	39.5167122
53.0000000	40.4402809	39.5167198
54.0000000	40.4402809	39.5167198
55.0000000	40.4402847	39.5167313
56.0000000	40.4402847	39.5167313
57.0000000	40.4402847	39.5167427
58.0000000	40.4402847	39.5167427
59.0000000	40.4402885	39.5167465
60.0000000	40.4402885	39.5167465
61.0000000	40.4402962	39.5167465
62.0000000	40.4402962	39.5167465
63.0000000	40.4403038	39.5167465
64.0000000	40.4403038	39.5167465
65.0000000	40.4403114	39.5167503
66.0000000	40.4403114	39.5167503
67.0000000	40.4403152	39.5167503
68.0000000	40.4403152	39.5167503
69.0000000	40.4403191	39.5167618
70.0000000	40.4403191	39.5167618
71.0000000	40.4403076	39.5167961
72.0000000	40.4403076	39.5167961
73.0000000	40.4403038	39.5168076
74.0000000	40.4403038	39.5168076
75.0000000	40.4403038	39.5168228
76.0000000	40.4403038	39.5168228
77.0000000	40.4403038	39.5168419
78.0000000	40.4403038	39.5168419
79.0000000	40.4403038	39.5168495
80.0000000	40.4403038	39.5168495
81.0000000	40.4403000	39.5168648
82.0000000	40.4403000	39.5168648
83.0000000	40.4403038	39.5168762
84.0000000	40.4403038	39.5168762
85.0000000	40.4403038	39.5168877
86.0000000	40.4403038	39.5168877
87.0000000	40.4403038	39.5168991
88.0000000	40.4403038	39.5168991
89.0000000	40.4403038	39.5169106
90.0000000	40.4403038	39.5169106
91.0000000	40.4403038	39.5169258
92.0000000	40.4403038	39.5169258
93.0000000	40.4403038	39.5169373
94.0000000	40.4403038	39.5169373
95.0000000	40.4403038	39.5169525
96.0000000	40.4403038	39.5169525
97.0000000	40.4403038	39.5169678
98.0000000	40.4403038	39.5169678
99.0000000	40.4403038	39.5169830
100.0000000	40.4403038	39.5169830
101.0000000	40.4403038	39.5169945
102.0000000	40.4403038	39.5170097
103.0000000	40.4403038	39.5170097
104.0000000	40.4403038	39.5170250
105.0000000	40.4403038	39.5170250
106.0000000	40.4403114	39.5170403
107.0000000	40.4403114	39.5170403
108.0000000	40.4403229	39.5170479
109.0000000	40.4403229	39.5170479
110.0000000	40.4403343	39.5170403
111.0000000	40.4403343	39.5170403
112.0000000	40.4403534	39.5170403
113.0000000	40.4403534	39.5170403
114.0000000	40.4403648	39.5170403
115.0000000	40.4403648	39.5170403
116.0000000	40.4403763	39.5170403
118.0000000	40.4403877	39.5170403
119.0000000	40.4403992	39.5170403
120.0000000	40.4403992	39.5170403
121.0000000	40.4404106	39.5170403
122.0000000	40.4404106	39.5170403
123.0000000	40.4404259	39.5170403
124.0000000	40.4404259	39.5170403
125.0000000	40.4404373	39.5170403
126.0000000	40.4404373	39.5170403
127.0000000	40.4404488	39.5170403
128.0000000	40.4404488	39.5170403
129.0000000	40.4404564	39.5170403
130.0000000	40.4404564	39.5170403
131.0000000	40.4404716	39.5170403
132.0000000	40.4404716	39.5170403
133.0000000	40.4404831	39.5170403
134.0000000	40.4404831	39.5170403
135.0000000	40.4404945	39.5170403
136.0000000	40.4404945	39.5170403
137.0000000	40.4405098	39.5170403
138.0000000	40.4405098	39.5170403
139.0000000	40.4405212	39.5170403
140.0000000	40.4405212	39.5170403
141.0000000	40.4405327	39.5170403
142.0000000	40.4405327	39.5170403
143.0000000	40.4405441	39.5170403
144.0000000	40.4405441	39.5170403
145.0000000	40.4405556	39.5170441
146.0000000	40.4405556	39.5170441
147.0000000	40.4405670	39.5170441
148.0000000	40.4405670	39.5170441
149.0000000	40.4405785	39.5170441
150.0000000	40.4405785	39.5170441
151.0000000	40.4405937	39.5170441
152.0000000	40.4405937	39.5170441
153.0000000	40.4406052	39.5170441
154.0000000	40.4406052	39.5170441
155.0000000	40.4406166	39.5170441
156.0000000	40.4406166	39.5170441
157.0000000	40.4406319	39.5170479
